Alessandro Condini,1985-1986
Alessandro Condini,1986-1987
Annarosa Molinari,1987-1988
Paola Matassoni,1988-1989
Giorgio Bertoldi,1989-1990
Giorgio Bertoldi,1990-1991
Edoardo De Abbondi,1991-1992
Vittorio Dusini,1992-1993
Claudia Eccher,1993-1994
Marco Franzinelli,1994-1995
Claudia Eccher,1995-1996
Giovanna Orlando,1996-1997
Sonia Petteni,1997-1998
Vittorio Cristanelli,1998-1999
Riccardo Sampaolesi,1999-2000
Alessia De Abbondi,2000-2001
Lavinia Sartori,2001-2002
Francesca Jerace,2002-2003
Guglielmo Reina,2003-2004
Maria Emanuela De Abbondi,2004-2005
Sara Filippi,2005-2006
Fabiola Jezza,2006-2007
Alessandro Pallaoro,2007-2008
Claire Albano,2008-2009
Arianna Bertagnolli,2009-2010
Thomas Zobele,2010-2011
Andrea Codroico,2011-2012
Stefano Lorenzini,2012-2013
Non dato,2013-2014
Biagio Andrea Algieri,2014-2015
Davide H. Ciminelli,2015-2016
Oscar Pallaoro,2016-2017
Costance Giovannini,2017-2018
Annalisa De Pretis,2018-2019
Elisabetta Toller,2019-2020
Federica Berlanda,2020-2021
Jessica De Ponto,2021-2022
Elisabetta Tomasi,2022-2023
Lucia del Torre,2023-2024
Daniele Di Lucrezia,2024-2025
Matteo Bellè,2025-2026